customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,owns_car,tenure
21,Mile,Cammocke,M,74,1980-09-20,40,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0
22,Deeanne,Durtnell,F,79,1962-12-10,58,Untitled,IT,Mass Customer,No,11.0
23,Olav,Polak,M,43,1995-02-10,25,Untitled,Untitled,High Net Worth,Yes,1.0
24,Kim,Skpsey,F,55,1977-12-03,43,Research Assistant I,Argiculture,Mass Customer,Yes,15.0
25,Geoff,Assaf,M,72,1976-12-02,44,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0
26,Trixi,Ginnelly,F,12,1978-06-10,42,Editor,Financial Services,Mass Customer,Yes,16.0
27,Garvin,Klees,M,37,1978-09-25,42,Research Nurse,Health,Mass Customer,Yes,12.0
28,Fee,Zellmer,M,5,1973-09-30,47,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0
29,Mona,Sancraft,F,62,1968-06-22,52,Safety Technician III,Manufacturing,Mass Customer,No,19.0
30,Darrick,Helleckas,M,18,1961-10-18,59,Untitled,IT,Affluent Customer,Yes,6.0
31,Star,Praton,F,3,1962-11-24,58,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0
32,Marion,Vanichkin,F,17,1995-04-20,25,Legal Assistant,Manufacturing,Affluent Customer,No,4.0
33,Ernst,Hacon,M,44,1957-06-25,63,Product Engineer,Untitled,Affluent Customer,Yes,11.0
35,Margaretha,Strettle,F,40,1963-09-28,57,Information Systems Manager,Health,High Net Worth,Yes,16.0
36,Lurette,Stonnell,F,33,1977-11-09,43,VP Quality Control,Untitled,Affluent Customer,No,22.0
37,Laurie,Dwerryhouse,F,46,1985-12-22,35,Social Worker,Health,High Net Worth,No,16.0
38,Cordi,Merman,F,37,1955-10-29,65,Senior Cost Accountant,Financial Services,Affluent Customer,No,20.0
39,Hunfredo,Smalley,M,5,1979-04-16,41,Assistant Media Planner,Entertainment,Mass Customer,No,22.0
40,Tomasine,Jerche,F,91,1981-10-27,39,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14.0
41,Basilius,Coupe,M,64,1976-04-14,44,Food Chemist,Health,Mass Customer,No,16.0
42,Chiquita,Durnall,F,24,1977-03-28,43,Accountant III,Manufacturing,Mass Customer,No,18.0
43,Indira,Belt,F,38,1983-03-01,37,Director of Sales,Retail,Mass Customer,No,5.0
44,Neron,Verick,M,63,1981-10-18,39,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17.0
45,Trace,Woodhead,M,64,1975-09-23,45,Senior Financial Analyst,Financial Services,Mass Customer,No,8.0
46,Kaila,Allin,F,98,1972-02-26,48,Untitled,Untitled,Affluent Customer,Yes,15.0
47,Matthew,Jeaycock,M,51,1992-10-22,28,Registered Nurse,Health,Affluent Customer,No,2.0
48,Rebbecca,Casone,F,46,1975-08-15,45,Biostatistician II,Untitled,Mass Customer,Yes,8.0
49,Nolly,Ownsworth,M,63,1994-01-26,26,VP Quality Control,Untitled,Affluent Customer,No,1.0
50,Whitby,Schapero,M,38,1980-10-01,40,Account Executive,Manufacturing,Mass Customer,Yes,16.0
51,Fidelio,Dilke,M,68,1959-12-05,61,Computer Systems Analyst II,Retail,Mass Customer,No,18.0
52,Curran,Bentson,M,57,1988-06-22,32,Untitled,Financial Services,Mass Customer,Yes,13.0
53,Agnella,Gocke,F,22,1954-04-18,66,Software Test Engineer II,Financial Services,Mass Customer,No,16.0
54,Loralyn,Wonfor,F,2,1966-07-24,54,Sales Associate,Property,Mass Customer,Yes,18.0
55,Linc,Jillions,M,48,1956-09-24,64,Paralegal,Financial Services,Affluent Customer,Yes,7.0
56,Reese,Ensor,M,44,1996-07-04,24,VP Sales,Property,Mass Customer,Yes,4.0
57,Abba,Masedon,M,87,1988-06-13,32,Chief Design Engineer,Untitled,Mass Customer,Yes,13.0
58,Dalenna,Pinnock,F,26,1967-07-04,53,Office Assistant III,Financial Services,Affluent Customer,Yes,17.0
59,Niki,Heathcote,M,60,2000-02-08,20,Physical Therapy Assistant,Untitled,High Net Worth,No,3.0
60,Nadiya,Champerlen,F,18,1970-02-04,50,Untitled,Manufacturing,Mass Customer,No,10.0
61,Kacey,Rowbottom,F,47,1959-11-29,61,Help Desk Operator,Property,High Net Worth,No,13.0
62,Sorcha,Roggers,F,38,1979-07-06,41,Untitled,IT,Mass Customer,Yes,22.0
63,Ebony,Zini,F,58,1965-07-03,55,Senior Quality Engineer,Retail,Mass Customer,Yes,16.0
64,Gerek,Yve,M,73,1978-03-25,42,Legal Assistant,IT,High Net Worth,No,4.0
65,Yale,Tanser,M,21,1976-04-01,44,Information Systems Manager,Financial Services,Affluent Customer,Yes,15.0
66,Anselm,Gawne,M,46,2002-03-11,18,Account Executive,Argiculture,High Net Worth,No,1.0
67,Vernon,,M,67,1960-06-14,60,Web Developer II,Retail,Mass Customer,No,18.0
68,Dahlia,Eddoes,F,37,1974-04-21,46,Information Systems Manager,Untitled,Affluent Customer,No,9.0
69,Heidi,Milner,F,16,1969-06-22,51,Web Developer II,Untitled,Mass Customer,No,6.0
70,Foster,Vannoort,M,78,1993-02-27,27,Paralegal,Financial Services,Affluent Customer,No,8.0
71,Hoyt,Glavias,M,30,1985-01-27,35,Research Associate,Argiculture,Affluent Customer,Yes,12.0
72,Sammy,Cheese,M,93,1972-02-13,48,Administrative Officer,Manufacturing,Affluent Customer,Yes,16.0
73,Minette,Worters,F,16,1960-05-27,60,Teacher,Untitled,Affluent Customer,Yes,5.0
74,Pansy,Kiddie,F,94,1969-06-19,51,Untitled,Untitled,Mass Customer,Yes,6.0
75,Dollie,Sealy,F,28,1978-07-15,42,VP Product Management,Property,Mass Customer,No,19.0
76,Rea,Hasser,F,20,1978-01-23,42,Statistician II,Retail,High Net Worth,Yes,18.0
77,Shermie,Andrin,M,79,1989-09-12,31,Automation Specialist IV,Financial Services,Mass Customer,No,7.0
78,Arch,Van der Kruis,M,37,1985-03-12,35,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8.0
79,Tybi,Silliman,F,76,1968-10-02,52,Account Executive,Manufacturing,Mass Customer,No,18.0
80,Pablo,Small,M,11,1978-04-24,42,Data Coordiator,Entertainment,Mass Customer,No,13.0
81,Bee,Blazewicz,F,58,1986-09-04,34,Untitled,Health,High Net Worth,No,13.0
82,Gleda,Cokely,F,93,1965-06-28,55,Software Test Engineer III,Property,High Net Worth,No,19.0
83,Kerr,Simmell,M,97,1967-02-26,53,Internal Auditor,IT,Mass Customer,Yes,18.0
84,Rich,Mathiasen,M,78,1958-02-07,62,Accountant III,Untitled,Mass Customer,Yes,14.0
85,Kane,Tixall,M,1,1958-05-21,62,Analyst Programmer,Untitled,Mass Customer,No,8.0
86,Job,Sleney,M,75,1989-03-04,31,Occupational Therapist,Health,High Net Worth,Yes,7.0
87,Fields,Langdon,M,78,1974-04-23,46,Editor,Financial Services,Mass Customer,No,8.0
88,Malynda,Tumber,F,41,1966-02-03,54,Help Desk Operator,Property,High Net Worth,Yes,7.0
89,Benedicto,Hoxey,M,74,1967-01-22,53,Speech Pathologist,Health,Mass Customer,Yes,14.0
90,Cary,Garron,M,76,1984-11-12,36,Quality Control Specialist,Manufacturing,Mass Customer,No,11.0
91,Dylan,Meaker,M,69,1955-02-24,65,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17.0
92,Jodee,Judkins,F,98,1980-09-11,40,Recruiting Manager,Health,Mass Customer,No,12.0
93,Gordon,Gowar,M,63,1976-07-16,44,Project Manager,Retail,Mass Customer,Yes,10.0
94,Wallache,Simchenko,M,33,1974-08-07,46,Civil Engineer,Manufacturing,Mass Customer,No,21.0
95,Nomi,Mallinder,F,67,1960-12-25,60,Software Engineer III,Manufacturing,Affluent Customer,Yes,8.0
96,Heath,Olford,M,33,1968-08-31,52,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15.0
97,Arne,Corain,M,16,1979-07-27,41,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10.0
98,Allianora,Babalola,F,19,1956-03-17,64,Safety Technician IV,Health,Mass Customer,No,7.0
99,Reggie,Mulliner,M,97,1998-06-13,22,VP Accounting,Financial Services,Mass Customer,No,3.0
100,Tripp,Steed,M,80,1968-05-11,52,General Manager,Financial Services,Mass Customer,Yes,4.0
101,Goran,Kwietek,M,83,1975-12-29,45,Nurse Practicioner,Manufacturing,High Net Worth,No,11.0
102,Langsdon,Tranfield,M,51,1956-11-27,64,Quality Control Specialist,Manufacturing,Affluent Customer,No,16.0
103,Ethyl,Runham,F,49,1997-04-21,23,Product Engineer,Financial Services,Affluent Customer,Yes,4.0
104,Odille,Panketh,F,40,1978-06-06,42,Automation Specialist II,Health,Mass Customer,Yes,9.0
105,Maribeth,Pristnor,F,25,2001-09-17,19,Recruiting Manager,Manufacturing,Mass Customer,No,1.0
106,Glyn,,M,54,1966-07-03,54,Software Test Engineer III,Health,High Net Worth,Yes,18.0
107,Pris,Stallebrass,F,97,1990-07-01,30,Nurse Practicioner,Financial Services,Mass Customer,Yes,9.0
108,Kayle,Mingaud,F,4,1994-03-14,26,Untitled,Untitled,High Net Worth,No,3.0
109,Cody,Blabey,M,16,1978-12-11,42,Marketing Assistant,Untitled,Affluent Customer,Yes,4.0
110,Sascha,St. Quintin,M,23,2000-07-31,20,Untitled,Financial Services,Affluent Customer,No,1.0
111,Cele,Evason,F,65,1993-08-29,27,Analyst Programmer,Untitled,Mass Customer,No,2.0
112,Shena,Parren,F,88,1975-08-12,45,Marketing Manager,Retail,High Net Worth,No,12.0
113,Gage,Nickless,M,67,1956-05-06,64,Staff Scientist,Untitled,Mass Customer,No,20.0
114,Sunny,Swindells,F,10,1985-10-23,35,Teacher,Entertainment,Affluent Customer,No,8.0
115,Alberik,Mereweather,M,77,1981-12-21,39,Account Executive,Health,Mass Customer,No,18.0
116,Scottie,Swiffen,M,49,1999-02-05,21,Assistant Professor,Manufacturing,Affluent Customer,Yes,2.0
117,Nance,Suttling,F,75,1982-02-23,38,Marketing Manager,Manufacturing,Mass Customer,No,15.0
118,Prentice,Pearmain,M,43,1959-11-12,61,Budget/Accounting Analyst IV,Untitled,High Net Worth,No,19.0
119,Willey,Chastanet,M,9,1981-12-04,39,Associate Professor,Untitled,High Net Worth,Yes,9.0
120,Sloan,Wagg,M,80,1978-09-02,42,Legal Assistant,Financial Services,High Net Worth,Yes,4.0
121,Myles,Pauncefort,M,82,1957-10-02,63,Graphic Designer,Manufacturing,Mass Customer,No,15.0
122,Colver,Itter,M,87,1979-04-19,41,Quality Control Specialist,Financial Services,Mass Customer,Yes,12.0
123,Almeta,Kalinsky,F,85,1988-12-03,32,Analyst Programmer,Financial Services,High Net Worth,No,15.0
124,Kath,Cunney,F,27,1995-05-03,25,Administrative Assistant II,Health,High Net Worth,Yes,5.0
125,Darrelle,Antoniewski,F,94,1960-03-17,60,Computer Systems Analyst II,Property,Mass Customer,No,16.0
126,Norman,Cliff,M,53,1992-10-15,28,Administrative Officer,Health,Mass Customer,Yes,3.0
127,Merrili,Whitear,F,81,1974-12-03,46,Compensation Analyst,Financial Services,Mass Customer,No,19.0
128,Isidro,Cypler,M,73,1977-07-17,43,Systems Administrator III,Property,Mass Customer,Yes,12.0
129,Weidar,Silkstone,M,64,1985-07-20,35,Financial Advisor,Financial Services,High Net Worth,Yes,19.0
130,Raddy,Delete,M,32,1997-07-18,23,Chemical Engineer,Manufacturing,Mass Customer,No,1.0
131,Jana,Renyard,F,57,1964-10-16,56,Administrative Officer,Retail,High Net Worth,No,8.0
132,Celesta,Willavoys,F,5,1963-07-07,57,Web Designer I,Manufacturing,Mass Customer,Yes,9.0
133,Eldridge,Fiddeman,M,12,1977-06-13,43,VP Accounting,Financial Services,Mass Customer,Yes,16.0
134,Merna,McCulloch,F,34,1997-08-01,23,Legal Assistant,Telecommunications,Affluent Customer,Yes,5.0
135,Rosalia,Sigart,F,18,1975-01-18,45,Internal Auditor,IT,Mass Customer,No,3.0
136,Mel,Bennet,M,46,1973-05-26,47,Senior Developer,Manufacturing,High Net Worth,Yes,7.0
137,Vaughn,Artin,M,27,1987-11-21,33,Office Assistant II,Property,High Net Worth,No,10.0
138,Onofredo,Franc,M,5,1985-04-28,35,Recruiter,Financial Services,Affluent Customer,Yes,13.0
139,Gar,,M,1,1964-07-28,56,Operator,Telecommunications,Affluent Customer,No,4.0
140,Morrie,Flaxon,M,9,1994-05-20,26,Programmer Analyst III,Manufacturing,Mass Customer,No,2.0
141,Townsend,Trobe,M,67,1954-06-25,66,Teacher,Financial Services,High Net Worth,Yes,10.0
142,Bentley,Fortesquieu,M,57,1967-08-07,53,Quality Engineer,Health,Affluent Customer,No,17.0
143,Kendall,Figg,M,19,1957-09-01,63,Operator,Argiculture,Mass Customer,Yes,11.0
145,Filippo,Ferrara,M,33,1997-07-21,23,Account Executive,Financial Services,Mass Customer,No,4.0
146,Ricoriki,Matlock,M,34,1985-04-08,35,Quality Control Specialist,Manufacturing,Mass Customer,No,8.0
147,Rea,Pattrick,F,32,1973-12-06,47,Analog Circuit Design manager,Health,Mass Customer,Yes,10.0
148,Jaquith,Maffey,F,69,1981-05-08,39,Programmer Analyst III,Untitled,Mass Customer,Yes,5.0
149,Drucy,Kausche,F,41,1995-01-31,25,Research Nurse,Health,Mass Customer,Yes,1.0
150,Bradly,Crosse,M,6,1983-08-23,37,Cost Accountant,Financial Services,Affluent Customer,No,17.0
151,Donnie,Brimson,M,36,1965-01-31,55,Marketing Manager,Manufacturing,Mass Customer,Yes,13.0
152,Stephana,Cardew,F,5,1981-03-03,39,Compensation Analyst,Financial Services,Mass Customer,No,16.0
153,Lorilyn,Walshe,F,73,1977-07-28,43,Assistant Media Planner,Entertainment,Mass Customer,Yes,12.0
154,Faydra,Dulieu,F,90,1958-02-13,62,Junior Executive,Untitled,Mass Customer,No,11.0
155,Orran,Bogges,M,4,1985-12-28,35,Quality Engineer,Manufacturing,Mass Customer,No,10.0
156,Shayla,Rimmington,F,23,1979-09-09,41,Cost Accountant,Financial Services,Mass Customer,Yes,11.0
157,Chad,Houtby,M,97,1974-11-23,46,Financial Advisor,Financial Services,Affluent Customer,No,16.0
158,Hamlin,Odams,M,99,1984-09-03,36,Internal Auditor,Untitled,Affluent Customer,No,5.0
159,Arin,Matskevich,M,90,1987-05-12,33,Research Nurse,Health,Affluent Customer,No,13.0
160,Wake,Durning,M,5,1964-07-15,56,Registered Nurse,Health,Mass Customer,No,18.0
161,Tadd,Bloss,M,49,1976-01-21,44,Untitled,Untitled,Mass Customer,No,16.0
162,Port,Acuna,M,90,1979-08-12,41,Nurse Practicioner,IT,Mass Customer,No,15.0
163,Kessia,Helder,F,58,1976-09-06,44,Librarian,Entertainment,High Net Worth,Yes,14.0
164,Aarika,Van Vuuren,F,55,1999-08-07,21,Senior Editor,Retail,Affluent Customer,Yes,1.0
165,Aldon,Roelofs,M,61,1984-03-25,36,Administrative Officer,Argiculture,Mass Customer,Yes,12.0
166,Elston,Oleszczak,M,54,1955-06-12,65,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6.0
167,Nathalie,Tideswell,F,95,1969-10-27,51,Untitled,Health,High Net Worth,Yes,17.0
169,Alfy,Bruhnke,M,20,1957-10-19,63,Data Coordiator,Telecommunications,High Net Worth,Yes,5.0
170,Jammal,Gever,M,80,1975-06-02,45,Pharmacist,Health,High Net Worth,No,21.0
171,Halli,Davidoff,F,62,1970-12-04,50,Assistant Manager,Manufacturing,Mass Customer,No,10.0
172,Hilton,Carney,M,54,1988-09-12,32,Editor,Manufacturing,Affluent Customer,Yes,6.0
173,Ebba,Hanselmann,F,99,1997-01-02,23,General Manager,Health,Affluent Customer,No,1.0
174,Catie,Tosspell,F,93,1989-11-26,31,Food Chemist,Health,Mass Customer,No,12.0
175,Templeton,Hambrook,M,36,1975-11-28,45,Quality Engineer,Manufacturing,Affluent Customer,No,5.0
176,Angelo,Clayal,M,39,1992-04-13,28,Accountant I,Property,Mass Customer,No,10.0
177,Ondrea,Pablos,F,25,1989-11-09,31,Professor,Financial Services,High Net Worth,No,4.0
178,Matthieu,Bertelmot,M,2,1967-04-03,53,Untitled,Untitled,Affluent Customer,No,8.0
179,Esteban,Sewill,M,23,1966-05-11,54,Environmental Tech,Manufacturing,High Net Worth,Yes,6.0
180,Trisha,Neasham,F,16,1971-09-17,49,Web Designer III,Argiculture,Affluent Customer,No,14.0
181,Pavla,Braunle,F,49,1982-11-21,38,Senior Editor,Manufacturing,Mass Customer,No,9.0
182,Lydon,Dahlman,M,99,1992-11-20,28,Sales Associate,Financial Services,Affluent Customer,Yes,7.0
183,Dannie,Hissie,F,7,1997-08-05,23,Geologist III,Retail,Affluent Customer,No,3.0
184,Nappie,Paolo,M,40,1971-12-13,49,Marketing Manager,Manufacturing,High Net Worth,Yes,7.0
185,Crosby,Walcot,M,80,1979-12-13,41,Untitled,Property,Mass Customer,Yes,13.0
186,Mireielle,Jeppe,F,46,1974-05-06,46,Software Test Engineer I,Financial Services,Mass Customer,No,3.0
187,Pincas,Ather,M,97,1954-01-28,66,Structural Engineer,Untitled,Mass Customer,No,11.0
188,Audry,Seine,F,54,1975-06-22,45,Safety Technician II,Property,High Net Worth,Yes,13.0
189,Umberto,Torricella,M,73,1981-07-19,39,Safety Technician I,Financial Services,Affluent Customer,No,10.0
190,Hayley,Girardengo,F,42,1979-02-04,41,Registered Nurse,Health,Affluent Customer,No,10.0
191,Christopher,Heining,M,22,1960-04-27,60,Help Desk Operator,Untitled,Affluent Customer,Yes,6.0
192,Goldi,Osler,F,2,1978-11-19,42,Junior Executive,Health,Mass Customer,Yes,8.0
193,Foss,Hardes,M,13,1964-07-22,56,Recruiting Manager,Manufacturing,Mass Customer,Yes,12.0
194,Ursala,Ferrai,F,4,1974-11-16,46,Web Developer III,Financial Services,Affluent Customer,No,10.0
195,Talyah,Rylatt,F,34,1958-11-14,62,Project Manager,Manufacturing,Mass Customer,No,6.0
196,Swen,Odhams,M,90,1966-02-22,54,Programmer Analyst II,Manufacturing,High Net Worth,No,6.0
197,Avis,,F,32,1977-01-27,43,Untitled,Untitled,High Net Worth,No,5.0
198,Vanya,Gumb,F,82,1981-11-29,39,Assistant Media Planner,Entertainment,Mass Customer,No,16.0
199,Verla,Alven,F,61,1978-02-13,42,Junior Executive,Health,Mass Customer,Yes,21.0
200,Hube,Weald,M,7,1957-02-04,63,Physical Therapy Assistant,Property,Affluent Customer,Yes,19.0
201,Salem,Huie,M,45,1966-04-20,54,Design Engineer,Manufacturing,Mass Customer,Yes,11.0
202,Audie,Pillinger,F,38,1963-06-24,57,Librarian,Entertainment,Affluent Customer,Yes,16.0
203,Donovan,Conry,M,71,1964-01-13,56,Senior Quality Engineer,Argiculture,Mass Customer,Yes,11.0
204,Thorny,Hackworth,M,56,1976-10-01,44,Editor,Financial Services,Mass Customer,No,5.0
205,Rolfe,Kellard,M,18,1958-12-01,62,Administrative Assistant II,Financial Services,Mass Customer,Yes,6.0
206,Mari,Chevolleau,F,98,1954-07-19,66,Statistician I,Untitled,Mass Customer,Yes,14.0
207,Adena,Whyman,F,9,1994-08-10,26,Untitled,Untitled,Mass Customer,No,7.0
208,Rutter,Excell,M,57,1994-10-31,26,Office Assistant III,Property,High Net Worth,No,5.0
209,Udall,Bellard,M,9,1957-08-28,63,Analog Circuit Design manager,Untitled,Affluent Customer,Yes,6.0
210,Albrecht,Thomasson,M,50,1963-11-18,57,Assistant Manager,Property,Mass Customer,No,18.0
211,Beitris,,F,6,1974-03-04,46,VP Marketing,Manufacturing,Mass Customer,Yes,5.0
212,Nanice,Ellse,F,21,2001-11-19,19,Desktop Support Technician,IT,Affluent Customer,No,1.0
213,Lockwood,Exroll,M,13,1996-05-14,24,Actuary,Financial Services,High Net Worth,Yes,6.0
214,Jeramie,Cellier,M,82,1957-11-29,63,Food Chemist,Health,Mass Customer,No,6.0
215,Debera,Foxworthy,F,37,1974-06-24,46,Assistant Professor,Retail,High Net Worth,Yes,18.0
216,Cinderella,Parcall,F,12,1995-01-12,25,Quality Engineer,Financial Services,High Net Worth,Yes,7.0
217,Jeralee,Quartly,F,63,1979-12-09,41,Untitled,Manufacturing,High Net Worth,No,16.0
218,Stefa,Dunnan,F,37,1993-08-06,27,Administrative Officer,Property,High Net Worth,Yes,8.0
219,Markus,Mughal,M,9,1964-11-25,56,Database Administrator III,Health,Mass Customer,No,7.0
220,Jeniffer,Apark,F,79,1954-05-10,66,Electrical Engineer,Manufacturing,High Net Worth,No,9.0
221,Mara,Bloore,F,14,1980-03-10,40,Tax Accountant,Manufacturing,Mass Customer,No,14.0
222,Nev,Larive,M,89,1978-09-03,42,Clinical Specialist,Health,Mass Customer,No,16.0
223,Ossie,Meaton,M,13,1983-11-26,37,VP Sales,Untitled,Affluent Customer,Yes,14.0
224,Morgun,Girvan,M,2,1967-12-03,53,Compensation Analyst,Financial Services,Affluent Customer,No,17.0
225,Brittaney,Pring,F,84,1977-03-11,43,Pharmacist,Health,Affluent Customer,No,13.0
226,Bondie,Letty,M,96,1977-11-11,43,Database Administrator IV,Manufacturing,Mass Customer,No,20.0
227,Wendall,McKeand,M,99,1973-08-14,47,Accountant I,Entertainment,Mass Customer,No,18.0
228,Lucia,Pickervance,F,59,1986-05-25,34,Systems Administrator II,Manufacturing,High Net Worth,No,12.0
229,Vaughn,Lambis,M,30,1966-03-06,54,Untitled,Property,High Net Worth,No,19.0
230,Maegan,Scyone,F,74,1954-06-24,66,Internal Auditor,Property,High Net Worth,No,11.0
231,Basile,Winsor,M,48,1995-08-05,25,Design Engineer,Financial Services,Mass Customer,Yes,3.0
232,Zaria,Koeppke,F,94,1987-11-11,33,Professor,Retail,Mass Customer,No,12.0
233,Art,Barwell,M,34,1986-08-08,34,Environmental Tech,Property,Mass Customer,No,13.0
234,Mead,Alpes,F,71,1969-08-12,51,Chief Design Engineer,Retail,High Net Worth,No,12.0
235,Leona,Phateplace,F,30,1976-12-26,44,Social Worker,Health,Mass Customer,No,15.0
236,Tybalt,Gillingwater,M,79,1954-10-30,66,Research Nurse,Health,Affluent Customer,No,14.0
237,Reginald,Dartan,M,18,1974-03-07,46,Account Coordinator,Property,High Net Worth,Yes,11.0
238,Max,Bilborough,M,54,1984-02-04,36,Programmer III,Untitled,Mass Customer,Yes,14.0
239,Wells,Pressman,M,62,1992-12-13,28,Registered Nurse,Health,Affluent Customer,No,3.0
240,Gavin,Fawks,M,49,1989-07-28,31,Administrative Assistant III,IT,High Net Worth,Yes,15.0
241,Quillan,Duigan,M,94,1987-05-09,33,Quality Engineer,Entertainment,Mass Customer,No,20.0
242,Taite,Droghan,M,17,1992-03-20,28,Nurse,Property,Affluent Customer,No,8.0
243,Barbara,Croxley,F,94,1976-09-02,44,Teacher,Manufacturing,High Net Worth,Yes,14.0
244,Germayne,Sperry,M,57,1974-11-25,46,Untitled,Retail,Affluent Customer,No,8.0
245,Noell,Grahlmans,F,6,2001-09-26,19,Associate Professor,Financial Services,Affluent Customer,No,1.0
246,Binny,Whight,F,63,1991-02-28,29,Technical Writer,Manufacturing,High Net Worth,No,9.0
247,Kristal,Joysey,F,62,1983-05-06,37,Staff Accountant II,Financial Services,High Net Worth,Yes,13.0
248,Inger,Eskell,F,76,1978-04-15,42,Clinical Specialist,Health,Affluent Customer,Yes,12.0
249,D'arcy,Slay,M,65,1992-09-13,28,Quality Control Specialist,IT,High Net Worth,No,9.0
250,Kristofer,,M,53,1988-04-15,32,Legal Assistant,Health,Mass Customer,Yes,13.0
251,Mala,,F,88,1977-12-24,43,VP Sales,Financial Services,Affluent Customer,Yes,10.0
252,Anthea,Ruskin,F,39,1983-01-24,37,Account Coordinator,Property,Mass Customer,Yes,13.0
253,Amalee,Choak,F,82,1997-05-11,23,Food Chemist,Health,Mass Customer,Yes,1.0
254,Barbie,Rubi,F,98,1961-09-22,59,Information Systems Manager,Retail,Mass Customer,No,14.0
255,Keeley,Kruger,F,2,1954-01-15,66,Desktop Support Technician,IT,Mass Customer,No,5.0
256,Linell,Beadle,F,16,1975-05-07,45,Director of Sales,Health,High Net Worth,Yes,21.0
257,Marissa,,F,70,1966-02-08,54,Sales Associate,Manufacturing,Affluent Customer,Yes,19.0
258,Othella,Keher,F,24,1992-05-03,28,Administrative Officer,Manufacturing,High Net Worth,No,9.0
259,Venita,Dymick,F,70,1983-07-22,37,Senior Developer,Health,High Net Worth,Yes,3.0
260,Farand,Marriner,F,47,1979-08-30,41,Senior Quality Engineer,Health,High Net Worth,Yes,22.0
261,Marve,Pryn,M,74,1977-10-15,43,Structural Engineer,Untitled,Mass Customer,No,8.0
262,Cordie,Petrelli,M,97,1977-12-23,43,Untitled,Health,High Net Worth,Yes,10.0
263,Tonia,Leigh,F,89,1985-11-19,35,Dental Hygienist,Health,High Net Worth,No,7.0
264,Jedd,Spiby,M,31,1977-12-07,43,Technical Writer,Health,Mass Customer,No,11.0
265,Pennie,Stoile,M,74,1965-10-05,55,Sales Representative,Retail,High Net Worth,Yes,18.0
266,Lelia,Garatty,F,69,1989-07-19,31,Account Executive,Retail,Affluent Customer,No,18.0
268,Kacie,Kidston,F,60,1978-10-18,42,Chemical Engineer,Manufacturing,Mass Customer,No,10.0
269,Zacherie,Grindley,M,55,1954-09-19,66,Nurse Practicioner,Property,Mass Customer,Yes,9.0
270,Auberta,Roundtree,F,38,1970-12-10,50,Budget/Accounting Analyst III,Untitled,Mass Customer,Yes,17.0
271,Doll,Burtwell,F,51,1991-02-13,29,Financial Advisor,Financial Services,Mass Customer,No,4.0
