first_name,last_name,gender,past_3_years_bike_related_purchases,cluster,DOB,age,age_categories,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,Value
Claudine,Barstowk,F,71,2,1966-07-20,54,50 to 60,Nurse,Property,High Net Worth,Yes,5,1859 Forest Circle,4000,QLD,11,26,1.46875
Blinnie,Roze,F,84,2,1960-12-10,60,60 to 70,Librarian,Entertainment,High Net Worth,No,11,44557 Rutledge Court,4171,QLD,7,26,1.46875
Rhona,De Freyne,F,45,3,1960-11-22,60,60 to 70,Untitled,Health,High Net Worth,No,8,11184 East Drive,3056,VIC,10,30,1.4609375
Sharron,Claibourn,F,62,2,1980-01-26,40,40 to 50,Untitled,Financial Services,High Net Worth,Yes,17,555 Hermina Avenue,2280,NSW,8,30,1.4609375
Brien,Heaton,M,70,0,1951-11-28,69,60 to 70,Clinical Specialist,Health,Mass Customer,Yes,12,8 Novick Trail,2470,NSW,2,32,1.453125
Sybilla,MacCart,F,88,1,1987-01-15,33,30 to 40,Paralegal,Financial Services,Mass Customer,Yes,7,74 Welch Pass,2620,NSW,7,32,1.453125
Mikel,McNess,M,71,2,1981-09-22,39,30 to 40,Nurse,Untitled,Mass Customer,No,9,3 Pleasure Drive,4122,QLD,9,32,1.453125
Maisie,Maddox,F,27,3,1977-05-09,43,40 to 50,Assistant Manager,Financial Services,Affluent Customer,No,20,8 Dennis Point,3226,VIC,9,32,1.453125
Arleen,Casbolt,F,48,0,1975-05-10,45,40 to 50,Senior Quality Engineer,Financial Services,Affluent Customer,Yes,13,41042 Lotheville Crossing,4817,QLD,1,36,1.44765625
Farlie,Petford,M,76,2,1968-03-25,52,50 to 60,Recruiting Manager,Untitled,High Net Worth,No,13,2330 Butternut Trail,2017,NSW,10,36,1.44765625
Mitchell,MacCague,M,58,2,1979-04-11,41,40 to 50,Untitled,Manufacturing,Mass Customer,No,15,240 Acker Avenue,3190,VIC,8,38,1.4375
Garik,Whitwell,M,44,0,1955-06-13,65,60 to 70,Untitled,Property,Mass Customer,Yes,13,04 Dexter Way,3280,VIC,2,38,1.4375
Antonin,Britt,M,64,1,1993-08-28,27,20 to 30,Untitled,Manufacturing,Affluent Customer,Yes,8,011 Northland Trail,2160,NSW,9,40,1.434375
Vinny,Incogna,F,73,2,1953-02-13,67,60 to 70,Untitled,Health,High Net Worth,No,10,8 Grayhawk Circle,2756,NSW,8,40,1.434375
Colene,Fishleigh,F,24,1,1985-03-14,35,30 to 40,Design Engineer,Financial Services,Mass Customer,No,3,44 Darwin Lane,3149,VIC,10,42,1.421875
Neile,Argent,F,79,2,1946-10-25,74,70 to 80,Untitled,Retail,Mass Customer,No,8,2548 Arrowood Pass,2024,NSW,10,42,1.421875
Corinna,Suggey,F,52,2,1966-09-18,54,50 to 60,Design Engineer,Untitled,Affluent Customer,No,9,938 Ilene Road,2761,NSW,8,44,1.42109375
Brooke,Arling,M,76,0,1961-12-05,59,50 to 60,Untitled,Untitled,High Net Worth,No,6,6 Melby Center,3027,VIC,5,44,1.42109375
Gipsy,Ewestace,F,29,3,1956-08-30,64,60 to 70,Business Systems Development Analyst,Retail,High Net Worth,Yes,5,08708 Moulton Park,2034,NSW,12,46,1.4078125
Sheena,Kybbye,F,14,0,1956-07-16,64,60 to 70,Paralegal,Financial Services,Affluent Customer,Yes,19,306 Clemons Junction,4852,QLD,1,46,1.4078125
Jobina,Gobourn,F,85,0,1994-12-04,26,20 to 30,VP Quality Control,Untitled,High Net Worth,Yes,14,18 Grim Road,4305,QLD,4,46,1.4078125
Gale,Disbrow,F,59,2,1977-05-14,43,40 to 50,Cost Accountant,Financial Services,Mass Customer,Yes,17,169 Bashford Drive,3741,VIC,7,46,1.4078125
Thaxter,Kingsbury,M,12,3,1950-05-03,70,70 to 80,Product Engineer,Argiculture,Mass Customer,No,20,3 Vermont Lane,2067,NSW,12,50,1.40625
Heinrick,Shilstone,M,60,2,1978-02-11,42,40 to 50,Untitled,Manufacturing,Affluent Customer,No,10,998 Gale Park,3174,VIC,8,50,1.40625
Taylor,Steuhlmeyer,M,62,1,1999-03-22,21,20 to 30,Paralegal,Financial Services,Affluent Customer,Yes,5,64 Mcguire Trail,4017,QLD,8,52,1.39453125
Griswold,Kelsall,M,55,1,1993-12-19,27,20 to 30,Social Worker,Health,High Net Worth,Yes,11,74127 Blaine Point,3805,VIC,7,52,1.39453125
Odessa,Mc Andrew,F,97,2,1981-12-01,39,30 to 40,Untitled,Property,Mass Customer,No,8,31756 Meadow Valley Lane,2232,NSW,10,54,1.38125
Lavena,Seekings,F,87,2,1995-03-25,25,20 to 30,Payment Adjustment Coordinator,Retail,Mass Customer,No,16,293 Mayfield Street,3166,VIC,10,54,1.38125
Martelle,Tuppeny,F,52,2,1981-02-03,39,30 to 40,Marketing Assistant,Manufacturing,Mass Customer,No,9,261 Grayhawk Way,2226,NSW,10,54,1.38125
Briant,Ladley,M,75,2,1979-12-17,41,40 to 50,Recruiter,Argiculture,Mass Customer,No,12,2 Schlimgen Terrace,2750,NSW,8,57,1.375
Marylou,Kirkup,F,51,2,1972-10-31,48,40 to 50,VP Product Management,Untitled,Mass Customer,No,14,76733 Sunbrook Terrace,3196,VIC,9,57,1.375
Whittaker,,M,64,0,1966-07-29,54,50 to 60,Media Manager III,Untitled,Mass Customer,Yes,8,683 Florence Way,3156,VIC,5,57,1.375
Lorrie,Antonelli,M,47,3,1983-02-11,37,30 to 40,Cost Accountant,Financial Services,High Net Worth,Yes,17,06936 Bobwhite Circle,2257,NSW,7,57,1.375
Jedediah,Kedie,M,31,3,1971-12-29,49,40 to 50,Developer I,Argiculture,Mass Customer,Yes,9,283 Acker Drive,2763,NSW,9,62,1.36796875
Kaine,Smallcombe,M,59,2,1942-02-06,78,70 to 80,Senior Financial Analyst,Financial Services,High Net Worth,No,11,9 Mosinee Parkway,2072,NSW,10,62,1.36796875
Loise,Iltchev,F,70,0,1967-03-18,53,50 to 60,Electrical Engineer,Manufacturing,High Net Worth,Yes,17,45 Becker Place,4504,QLD,6,62,1.36796875
Cristen,Maroney,F,22,1,1999-11-21,21,20 to 30,Accountant IV,IT,High Net Worth,Yes,7,27 Karstens Crossing,4214,QLD,7,65,1.3625
Dorothy,Barnardo,F,58,2,1983-02-01,37,30 to 40,Human Resources Manager,Retail,High Net Worth,No,12,9630 Cottonwood Avenue,2168,NSW,8,65,1.3625
Rosmunda,Duxbarry,F,69,1,1996-07-20,24,20 to 30,Executive Secretary,Property,Affluent Customer,Yes,5,989 Graedel Terrace,4208,QLD,11,65,1.3625
Rozamond,Riha,F,54,0,1984-10-07,36,30 to 40,Account Representative I,Manufacturing,Affluent Customer,Yes,16,76 Bartelt Center,4078,QLD,7,68,1.3546875
Gunner,Petti,M,62,1,1999-06-08,21,20 to 30,Executive Secretary,Financial Services,High Net Worth,Yes,3,29778 Mendota Drive,4036,QLD,5,68,1.3546875
Vivienne,Crayden,F,82,1,1988-09-18,32,30 to 40,Associate Professor,Untitled,High Net Worth,Yes,6,69 Algoma Center,4173,QLD,7,68,1.3546875
Sherilyn,Canero,F,11,3,1996-08-03,24,20 to 30,Dental Hygienist,Health,High Net Worth,Yes,13,8288 Lyons Way,2484,NSW,7,68,1.3546875
Bessie,Roscow,F,78,1,1994-08-04,26,20 to 30,GIS Technical Architect,Financial Services,Mass Customer,No,9,4185 Florence Trail,2121,NSW,10,72,1.35
Kevina,Ferandez,F,73,1,1999-09-21,21,20 to 30,Assistant Professor,Financial Services,High Net Worth,No,15,9608 Heffernan Drive,4068,QLD,9,72,1.35
Yancy,Clementet,M,5,3,1968-02-16,52,50 to 60,Mechanical Systems Engineer,Untitled,High Net Worth,No,15,9 Union Center,2147,NSW,9,72,1.35
Mabelle,Wellbelove,F,76,2,1958-04-21,62,60 to 70,Untitled,Financial Services,Affluent Customer,Yes,19,800 Emmet Park,2219,NSW,9,72,1.35
Hasheem,Groucock,M,98,2,1974-09-17,46,40 to 50,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,Yes,10,12351 Spenser Pass,2034,NSW,12,72,1.35
Tobias,Woodhams,M,0,3,1961-04-15,59,50 to 60,Research Nurse,Health,Mass Customer,No,17,4 Valley Edge Plaza,2759,NSW,9,77,1.34140625
Glennis,Flintoff,F,36,3,1956-10-22,64,60 to 70,Speech Pathologist,Health,Affluent Customer,Yes,13,1601 Rutledge Lane,3030,VIC,7,78,1.3375
Chanda,Mensler,F,15,3,1972-01-14,48,40 to 50,Computer Systems Analyst IV,Manufacturing,Mass Customer,Yes,13,0 Mockingbird Plaza,2212,NSW,10,78,1.3375
Katheryn,Kinner,F,15,3,1973-11-28,47,40 to 50,Analyst Programmer,Entertainment,High Net Worth,No,6,1665 Kenwood Center,2518,NSW,6,78,1.3375
Sumner,Carrivick,M,53,2,1995-04-09,25,20 to 30,Desktop Support Technician,Manufacturing,Mass Customer,No,15,5 4th Center,2097,NSW,12,78,1.3375
Valerie,Pickover,F,34,3,1965-09-08,55,50 to 60,Editor,Financial Services,Mass Customer,No,9,92214 Spenser Road,2756,NSW,8,78,1.3375
Esther,Rooson,F,14,1,1981-02-22,39,30 to 40,Untitled,Financial Services,Mass Customer,No,5,5186 Main Trail,2046,NSW,9,78,1.3375
Gardie,Crellim,M,58,2,1975-09-12,45,40 to 50,Biostatistician IV,Manufacturing,High Net Worth,No,8,564 Forest Dale Avenue,3161,VIC,12,84,1.328125
Sean,O'Loughlin,M,48,3,1961-03-22,59,50 to 60,Database Administrator III,Manufacturing,High Net Worth,Yes,16,83 Old Gate Point,2576,NSW,10,85,1.325
Pietra,Buckleigh,F,9,3,1949-04-29,71,70 to 80,Engineer III,Untitled,High Net Worth,No,13,387 Dixon Alley,2024,NSW,10,85,1.325
Marysa,Rouchy,F,8,1,1999-02-15,21,20 to 30,Assistant Media Planner,Entertainment,Affluent Customer,No,5,411 Twin Pines Way,2026,NSW,9,85,1.325
Kahaleel,,M,5,3,1942-11-01,78,70 to 80,GIS Technical Architect,Untitled,High Net Worth,No,13,12 Arapahoe Park,2035,NSW,12,88,1.31484375
Ossie,Midden,M,49,3,1950-02-10,70,70 to 80,Physical Therapy Assistant,Manufacturing,Mass Customer,Yes,14,4915 Debra Center,2479,NSW,9,89,1.3125
Sid,Carlone,M,24,0,1971-08-18,49,40 to 50,Structural Engineer,Health,Affluent Customer,No,16,76 Sunnyside Avenue,4670,QLD,2,89,1.3125
Ludovico,Juster,M,93,2,1992-04-19,28,20 to 30,Environmental Specialist,Untitled,Affluent Customer,No,15,1 Talisman Avenue,2125,NSW,10,89,1.3125
Patricia,Everix,F,34,3,1978-02-19,42,40 to 50,Director of Sales,Health,Mass Customer,No,19,91164 Washington Terrace,2263,NSW,7,89,1.3125
Andromache,Bonafacino,F,84,2,1977-09-01,43,40 to 50,Untitled,Retail,Mass Customer,No,11,74 Carpenter Street,2015,NSW,9,89,1.3125
Levy,Abramamov,M,94,2,1952-09-21,68,60 to 70,Teacher,Untitled,Affluent Customer,Yes,14,6776 Anderson Center,4037,QLD,8,89,1.3125
Nobe,McAughtry,M,25,0,1978-12-14,42,40 to 50,Untitled,Untitled,Mass Customer,No,12,1 Orin Hill,4510,QLD,5,89,1.3125
Jehu,Prestedge,M,91,1,1999-10-20,21,20 to 30,Untitled,Manufacturing,High Net Worth,Yes,8,88 Annamark Avenue,2138,NSW,12,96,1.3
Symon,Mawne,M,18,0,1943-02-08,77,70 to 80,Human Resources Assistant IV,Property,Mass Customer,Yes,15,37439 High Crossing Circle,3350,VIC,4,96,1.3
Karlik,Penchen,M,60,1,1994-10-31,26,20 to 30,Nurse Practicioner,Retail,Mass Customer,No,11,5 Nevada Point,4017,QLD,6,96,1.3
Bengt,Bilson,M,26,3,1972-11-02,48,40 to 50,Structural Engineer,Manufacturing,High Net Worth,No,11,67 Grayhawk Circle,2232,NSW,10,99,1.296875
Evangelin,Boc,F,30,1,2000-05-09,20,20 to 30,Structural Analysis Engineer,Manufacturing,High Net Worth,Yes,14,0 Meadow Ridge Street,3173,VIC,8,99,1.296875
Hanny,Treven,F,84,1,1991-01-22,29,20 to 30,Associate Professor,Retail,Mass Customer,No,3,5 Quincy Street,4118,QLD,4,99,1.296875
Gina,Mallon,F,56,0,1994-02-11,26,20 to 30,Dental Hygienist,Health,Mass Customer,No,12,13025 Johnson Plaza,4670,QLD,2,102,1.28828125
Reynold,Elman,M,19,0,1940-01-18,80,Above 80,Marketing Manager,Manufacturing,Mass Customer,No,9,966 Sunnyside Center,2390,NSW,2,102,1.28828125
Flossy,Concannon,F,64,0,1980-10-20,40,40 to 50,Staff Accountant IV,Financial Services,Affluent Customer,No,8,802 Mallory Park,3919,VIC,2,104,1.2875
Cristen,Wiltshire,F,59,0,1961-10-20,59,50 to 60,VP Sales,Financial Services,High Net Worth,Yes,15,93 Judy Drive,3047,VIC,6,104,1.2875
Griffith,Escot,M,50,0,1946-10-23,74,70 to 80,Accountant III,IT,Mass Customer,Yes,16,94 Manitowish Court,4116,QLD,3,104,1.2875
Jamie,Jiruca,F,21,3,1963-06-16,57,50 to 60,Recruiting Manager,Argiculture,Mass Customer,No,18,5013 Erie Crossing,2230,NSW,9,104,1.2875
Lyon,Brittan,M,14,3,1972-04-23,48,40 to 50,Sales Representative,Retail,High Net Worth,No,19,540 Sachs Road,3153,VIC,8,104,1.2875
Aridatha,Sephton,F,95,0,1961-10-22,59,50 to 60,Human Resources Assistant II,Untitled,Mass Customer,No,5,422 Forster Circle,2340,NSW,1,104,1.2875
Michal,Bryan,F,1,3,1969-11-09,51,50 to 60,Untitled,Manufacturing,Mass Customer,Yes,16,4275 Bluestem Pass,4000,QLD,8,104,1.2875
Franciska,Stigell,F,95,2,1968-11-15,52,50 to 60,Food Chemist,Health,Mass Customer,Yes,7,6 Anderson Junction,3802,VIC,7,111,1.28125
Jordan,Clampe,M,37,0,1939-12-09,81,Above 80,Staff Scientist,Financial Services,Mass Customer,Yes,11,276 Westend Road,4207,QLD,5,111,1.28125
David,Napoleon,M,72,2,1961-11-05,59,50 to 60,Structural Engineer,Untitled,High Net Worth,No,14,69 Garrison Point,2223,NSW,11,111,1.28125
Meriel,Tapp,F,0,1,1995-08-13,25,20 to 30,VP Sales,IT,Mass Customer,No,5,65 Milwaukee Hill,3280,VIC,2,114,1.275
Dolley,Starmont,F,53,0,1977-11-08,43,40 to 50,Geologist IV,Manufacturing,Affluent Customer,No,18,4252 Dovetail Pass,4129,QLD,6,114,1.275
Frederik,Milan,M,45,1,1997-11-13,23,20 to 30,Untitled,Health,Mass Customer,No,5,56 Riverside Street,2546,NSW,5,114,1.275
Rollo,Louedey,M,64,2,1946-07-09,74,70 to 80,Information Systems Manager,Telecommunications,Affluent Customer,Yes,17,7 Cascade Park,2089,NSW,9,114,1.275
Jerrine,Cosbey,F,21,3,1978-01-11,42,40 to 50,Junior Executive,Financial Services,High Net Worth,Yes,6,29307 Russell Avenue,3094,VIC,9,114,1.275
Roddy,Rubinshtein,M,37,1,1987-10-08,33,30 to 40,Nurse Practicioner,Retail,Mass Customer,Yes,4,3 Mcguire Crossing,4510,QLD,7,114,1.275
Viki,Coutts,F,2,3,1952-12-14,68,60 to 70,Automation Specialist II,Property,Mass Customer,Yes,7,6 Golf View Alley,2287,NSW,4,120,1.2625
Ashby,Bispham,M,71,1,1981-10-29,39,30 to 40,Software Consultant,Retail,Affluent Customer,No,4,83716 Russell Lane,2145,NSW,8,120,1.2625
Alexander,Broadbent,M,57,1,1997-05-28,23,20 to 30,Desktop Support Technician,Untitled,Mass Customer,No,9,265 Stephen Trail,2209,NSW,10,120,1.2625
Teddy,Lagadu,F,86,2,1969-07-20,51,50 to 60,Design Engineer,Untitled,High Net Worth,No,6,2 Charing Cross Trail,2759,NSW,8,120,1.2625
Peria,Rantoull,F,3,0,1975-03-13,45,40 to 50,Financial Analyst,Financial Services,Mass Customer,No,4,8350 Moulton Terrace,4500,QLD,4,120,1.2625
Ludvig,Andren,M,44,0,1941-02-22,79,70 to 80,Media Manager III,Untitled,High Net Worth,Yes,15,578 Waywood Circle,4306,QLD,5,125,1.26171875
Elsworth,Abbitt,M,71,0,1956-02-08,64,60 to 70,Untitled,Health,Mass Customer,Yes,6,9722 Northport Way,3500,VIC,3,125,1.26171875
Rebeca,Aggas,F,66,0,1953-02-27,67,60 to 70,Social Worker,Health,Affluent Customer,No,21,7026 Katie Lane,3818,VIC,1,127,1.25
Ricki,Dobrowski,M,13,0,1975-03-10,45,40 to 50,Civil Engineer,Manufacturing,Mass Customer,Yes,9,8 Eggendart Pass,2835,NSW,1,127,1.25
Georgetta,Lovett,F,42,0,1940-02-02,80,Above 80,Editor,Retail,Mass Customer,No,12,1 Bluejay Place,4405,QLD,1,127,1.25
Bambi,Cogger,F,51,1,1990-07-12,30,30 to 40,Design Engineer,Retail,Affluent Customer,Yes,5,28970 Monument Lane,2560,NSW,7,127,1.25
Aurie,Rhead,F,78,0,1962-07-28,58,50 to 60,Geological Engineer,Manufacturing,Affluent Customer,Yes,5,235 Mendota Court,2650,NSW,2,127,1.25
Farris,Skettles,M,38,3,1965-07-03,55,50 to 60,Payment Adjustment Coordinator,Untitled,Mass Customer,Yes,13,49309 Redwing Lane,3240,VIC,7,132,1.2484375
Sharline,Abyss,F,11,0,1960-03-18,60,60 to 70,Untitled,Untitled,Mass Customer,Yes,15,367 Bay Point,4011,QLD,4,133,1.2375
Nowell,Preddy,M,29,1,1985-07-23,35,30 to 40,Untitled,Manufacturing,Mass Customer,No,9,932 Glendale Avenue,2173,NSW,9,133,1.2375
Lacy,Drance,F,27,3,1978-02-05,42,40 to 50,Graphic Designer,Manufacturing,Affluent Customer,Yes,14,492 Waywood Lane,2750,NSW,8,133,1.2375
Padraig,Snel,M,89,2,1970-11-08,50,50 to 60,Staff Accountant II,Untitled,Mass Customer,No,19,12683 Mifflin Point,2114,NSW,7,133,1.2375
Malorie,Votier,F,90,1,1990-05-29,30,30 to 40,Graphic Designer,Manufacturing,Affluent Customer,No,4,6160 Weeping Birch Hill,4509,QLD,5,133,1.2375
Shepperd,Ricards,M,28,0,1967-09-27,53,50 to 60,Social Worker,Health,Mass Customer,Yes,16,7 Oakridge Lane,2284,NSW,4,133,1.2375
Daryl,Pauncefort,F,12,0,1979-06-18,41,40 to 50,Community Outreach Specialist,Financial Services,Mass Customer,Yes,12,0 Dexter Parkway,2380,NSW,3,133,1.2375
Norina,Blakeway,F,60,1,1980-02-11,40,40 to 50,Programmer Analyst II,Property,Mass Customer,Yes,3,75813 Lawn Lane,3081,VIC,8,133,1.2375
My,Chaston,M,92,2,1966-07-16,54,50 to 60,Desktop Support Technician,Manufacturing,Affluent Customer,Yes,16,74613 Northport Park,3765,VIC,9,133,1.2375
Isak,Bergstram,M,14,3,2001-03-08,19,Lessthan 20,Pharmacist,Health,Affluent Customer,Yes,15,68 Karstens Pass,2176,NSW,9,142,1.23515625
Grannie,Cracker,M,28,3,1949-03-06,71,70 to 80,VP Marketing,Retail,Mass Customer,Yes,20,87254 Hermina Pass,4217,QLD,8,142,1.23515625
Welby,Lourenco,M,6,3,1975-12-27,45,40 to 50,Senior Cost Accountant,Financial Services,High Net Worth,Yes,17,801 Atwood Alley,2138,NSW,9,144,1.234375
Glenn,Casbourne,F,4,0,1981-08-08,39,30 to 40,Senior Editor,Manufacturing,Mass Customer,No,6,2 Morrow Alley,4207,QLD,1,144,1.234375
Nadiya,Balasini,F,40,3,1950-11-05,70,70 to 80,Sales Associate,Financial Services,Mass Customer,No,15,92934 Mallory Trail,2164,NSW,9,146,1.225
Tyne,Coate,F,82,2,1965-07-15,55,50 to 60,Developer II,Manufacturing,Mass Customer,No,17,90820 Thackeray Street,2218,NSW,8,146,1.225
Christie,Anders,M,38,3,1969-10-02,51,50 to 60,VP Marketing,Retail,Mass Customer,No,16,48 Ludington Plaza,2153,NSW,10,146,1.225
Agnella,Capener,F,58,0,1969-05-21,51,50 to 60,Teacher,Health,High Net Worth,No,19,49185 Derek Circle,3977,VIC,6,146,1.225
Bernardine,Delmonti,F,39,3,1971-03-31,49,40 to 50,Untitled,Property,Mass Customer,No,17,0721 Meadow Ridge Pass,2540,NSW,8,146,1.225
Daisy,Spowart,F,60,0,1967-12-18,53,50 to 60,Staff Accountant I,Health,Affluent Customer,Yes,4,115 Westridge Road,4570,QLD,3,146,1.225
Denys,Minshall,F,30,3,1961-12-26,59,50 to 60,Environmental Tech,Manufacturing,Affluent Customer,Yes,14,7 Myrtle Lane,2324,NSW,8,152,1.221875
Archibald,Blessed,M,61,2,1969-02-10,51,50 to 60,VP Sales,Financial Services,Mass Customer,Yes,18,7795 Memorial Drive,2016,NSW,11,153,1.21875
Feodor,Englishby,M,54,0,1961-08-14,59,50 to 60,Account Coordinator,Health,Mass Customer,No,11,24695 Boyd Road,3201,VIC,5,154,1.203125
Skippie,Yearsley,M,6,0,1956-09-04,64,60 to 70,Compensation Analyst,Financial Services,Mass Customer,No,9,95306 John Wall Avenue,4350,QLD,5,155,1.2
Bill,,F,74,2,1963-04-24,57,50 to 60,Human Resources Assistant II,Property,Mass Customer,Yes,19,6704 Pine View Lane,2170,NSW,9,155,1.2
Tessa,Friese,F,89,2,1976-10-24,44,40 to 50,Health Coach II,Financial Services,Mass Customer,No,21,98158 Alpine Point,4212,QLD,9,157,1.1953125
Roseanne,Caruth,F,16,3,1957-05-25,63,60 to 70,Programmer Analyst III,Health,Mass Customer,No,7,33652 Lyons Alley,2763,NSW,9,158,1.1875
Tedra,Goodbanne,F,4,3,1978-01-15,42,40 to 50,Senior Quality Engineer,Untitled,Mass Customer,Yes,6,8 Debs Road,3934,VIC,9,158,1.1875
Roberto,Harme,M,27,3,1951-06-11,69,60 to 70,Environmental Tech,Untitled,High Net Worth,No,10,101 Starling Pass,2564,NSW,9,158,1.1875
Nichole,Leisman,M,37,1,1986-08-07,34,30 to 40,Geologist III,Property,Affluent Customer,No,4,35151 Bunker Hill Crossing,2068,NSW,12,158,1.1875
Amil,Ennor,F,23,1,1995-08-04,25,20 to 30,Health Coach II,Health,Mass Customer,Yes,10,2093 Amoth Pass,3109,VIC,11,158,1.1875
Shawna,Hinrichsen,F,60,0,1969-08-27,51,50 to 60,Assistant Professor,Manufacturing,Affluent Customer,Yes,9,57343 Eagan Avenue,2326,NSW,2,163,1.18203125
Fonsie,Levane,M,96,0,1951-07-10,69,60 to 70,Account Representative III,Untitled,High Net Worth,Yes,19,83 Armistice Terrace,4011,QLD,3,163,1.18203125
Emilie,Brody,F,3,3,1979-05-22,41,40 to 50,Director of Sales,Untitled,Mass Customer,Yes,3,5388 Burrows Alley,2073,NSW,11,163,1.18203125
Robert,Corkill,M,55,1,1976-03-12,44,40 to 50,Clinical Specialist,Health,Mass Customer,No,4,5612 Toban Point,2227,NSW,10,166,1.175
Elvira,Kurten,F,65,0,1973-03-18,47,40 to 50,Assistant Professor,Financial Services,High Net Worth,No,12,65 Ridge Oak Court,2471,NSW,3,166,1.175
Juliana,Mitchenson,F,55,0,1989-01-05,31,30 to 40,Environmental Tech,Manufacturing,Mass Customer,Yes,8,74 Russell Terrace,4350,QLD,4,166,1.175
