customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,age,age_categories,RFM_level,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation
16,Harlin,Parr,M,38,1977-02-27,43,40 to 50,Potential,Media Manager IV,Untitled,Mass Customer,Yes,18.0,52 Moland Street,3331,VIC,4
17,Heath,Faraday,M,57,1962-03-19,58,50 to 60,Champions,Sales Associate,Untitled,Affluent Customer,Yes,15.0,82391 Kensington Lane,3058,VIC,9
18,Marjie,Neasham,F,79,1967-07-06,53,50 to 60,Champions,Professor,Untitled,Affluent Customer,No,11.0,092 2nd Alley,2135,NSW,12
19,Sorcha,Keyson,F,76,2001-04-15,19,Lessthan 20,Require Activation,Geological Engineer,Manufacturing,High Net Worth,No,1.0,59 Spaight Circle,2233,NSW,9
20,Basile,Firth,M,72,1980-08-13,40,40 to 50,Loyal,Project Manager,Manufacturing,Mass Customer,No,11.0,032 Bartelt Crossing,2444,NSW,8
21,Mile,Cammocke,M,74,1980-09-20,40,40 to 50,Can't Loose Them,Safety Technician I,Manufacturing,Affluent Customer,Yes,16.0,18 Jenna Center,2650,NSW,7
24,Kim,Skpsey,F,55,1977-12-03,43,40 to 50,Can't Loose Them,Research Assistant I,Argiculture,Mass Customer,Yes,15.0,3 Cordelia Plaza,2153,NSW,10
25,Geoff,Assaf,M,72,1976-12-02,44,40 to 50,Can't Loose Them,Accounting Assistant III,Financial Services,Mass Customer,Yes,21.0,28 5th Center,4413,QLD,3
26,Trixi,Ginnelly,F,12,1978-06-10,42,40 to 50,Require Activation,Editor,Financial Services,Mass Customer,Yes,16.0,52 Carey Alley,4740,QLD,5
27,Garvin,Klees,M,37,1978-09-25,42,40 to 50,Loyal,Research Nurse,Health,Mass Customer,Yes,12.0,96 Texas Plaza,3218,VIC,7
28,Fee,Zellmer,M,5,1973-09-30,47,40 to 50,Loyal,Senior Quality Engineer,Health,Affluent Customer,Yes,21.0,48 Eagan Avenue,4868,QLD,4
29,Mona,Sancraft,F,62,1968-06-22,52,50 to 60,Can't Loose Them,Safety Technician III,Manufacturing,Mass Customer,No,19.0,9 Buell Park,4116,QLD,7
30,Darrick,Helleckas,M,18,1961-10-18,59,50 to 60,Potential,Untitled,IT,Affluent Customer,Yes,6.0,02663 Buell Parkway,2519,NSW,11
31,Star,Praton,F,3,1962-11-24,58,50 to 60,Require Activation,Staff Accountant III,Telecommunications,High Net Worth,Yes,14.0,2294 Pleasure Place,2135,NSW,12
32,Marion,Vanichkin,F,17,1995-04-20,25,20 to 30,Loyal,Legal Assistant,Manufacturing,Affluent Customer,No,4.0,2951 Petterle Place,2756,NSW,9
33,Ernst,Hacon,M,44,1957-06-25,63,Above 60,Can't Loose Them,Product Engineer,Untitled,Affluent Customer,Yes,11.0,63 Lukken Drive,2170,NSW,9
35,Margaretha,Strettle,F,40,1963-09-28,57,50 to 60,Needs Attention,Information Systems Manager,Health,High Net Worth,Yes,16.0,34 Russell Plaza,4127,QLD,6
36,Lurette,Stonnell,F,33,1977-11-09,43,40 to 50,Require Activation,VP Quality Control,Untitled,Affluent Customer,No,22.0,78 Del Sol Hill,2535,NSW,8
37,Laurie,Dwerryhouse,F,46,1985-12-22,35,30 to 40,Can't Loose Them,Social Worker,Health,High Net Worth,No,16.0,54 Sage Plaza,4726,QLD,1
38,Cordi,Merman,F,37,1955-10-29,65,Above 60,Promising,Senior Cost Accountant,Financial Services,Affluent Customer,No,20.0,90 Lawn Parkway,4805,QLD,4
39,Hunfredo,Smalley,M,5,1979-04-16,41,40 to 50,Can't Loose Them,Assistant Media Planner,Entertainment,Mass Customer,No,22.0,38726 Ilene Crossing,2212,NSW,10
40,Tomasine,Jerche,F,91,1981-10-27,39,30 to 40,Champions,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14.0,3496 Brown Drive,2207,NSW,8
41,Basilius,Coupe,M,64,1976-04-14,44,40 to 50,Can't Loose Them,Food Chemist,Health,Mass Customer,No,16.0,7188 Cody Way,3350,VIC,9
42,Chiquita,Durnall,F,24,1977-03-28,43,40 to 50,Require Activation,Accountant III,Manufacturing,Mass Customer,No,18.0,1 Claremont Park,3931,VIC,10
43,Indira,Belt,F,38,1983-03-01,37,30 to 40,Can't Loose Them,Director of Sales,Retail,Mass Customer,No,5.0,60 Eagan Circle,4018,QLD,8
44,Neron,Verick,M,63,1981-10-18,39,30 to 40,Can't Loose Them,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17.0,89314 Eagle Crest Center,4670,QLD,2
45,Trace,Woodhead,M,64,1975-09-23,45,40 to 50,Promising,Senior Financial Analyst,Financial Services,Mass Customer,No,8.0,2028 Lakewood Place,2480,NSW,3
46,Kaila,Allin,F,98,1972-02-26,48,40 to 50,Potential,Untitled,Untitled,Affluent Customer,Yes,15.0,70875 Hudson Point,3212,VIC,6
47,Matthew,Jeaycock,M,51,1992-10-22,28,20 to 30,Can't Loose Them,Registered Nurse,Health,Affluent Customer,No,2.0,543 Killdeer Park,2322,NSW,4
48,Rebbecca,Casone,F,46,1975-08-15,45,40 to 50,Can't Loose Them,Biostatistician II,Untitled,Mass Customer,Yes,8.0,22125 Ramsey Drive,3198,VIC,9
49,Nolly,Ownsworth,M,63,1994-01-26,26,20 to 30,Potential,VP Quality Control,Untitled,Affluent Customer,No,1.0,3107 Calypso Terrace,2210,NSW,9
50,Whitby,Schapero,M,38,1980-10-01,40,40 to 50,Can't Loose Them,Account Executive,Manufacturing,Mass Customer,Yes,16.0,957 Veith Junction,2047,NSW,10
51,Fidelio,Dilke,M,68,1959-12-05,61,Above 60,Can't Loose Them,Computer Systems Analyst II,Retail,Mass Customer,No,18.0,4853 Gulseth Avenue,4503,QLD,5
52,Curran,Bentson,M,57,1988-06-22,32,30 to 40,Can't Loose Them,Untitled,Financial Services,Mass Customer,Yes,13.0,9 Michigan Terrace,2145,NSW,8
53,Agnella,Gocke,F,22,1954-04-18,66,Above 60,Champions,Software Test Engineer II,Financial Services,Mass Customer,No,16.0,62 Steensland Road,4350,QLD,3
54,Loralyn,Wonfor,F,2,1966-07-24,54,50 to 60,Can't Loose Them,Sales Associate,Property,Mass Customer,Yes,18.0,6 Homewood Avenue,2142,NSW,8
55,Linc,Jillions,M,48,1956-09-24,64,Above 60,Can't Loose Them,Paralegal,Financial Services,Affluent Customer,Yes,7.0,15 Almo Lane,2029,NSW,10
56,Reese,Ensor,M,44,1996-07-04,24,20 to 30,Can't Loose Them,VP Sales,Property,Mass Customer,Yes,4.0,690 Glacier Hill Circle,2127,NSW,10
57,Abba,Masedon,M,87,1988-06-13,32,30 to 40,Can't Loose Them,Chief Design Engineer,Untitled,Mass Customer,Yes,13.0,89787 Village Green Terrace,4280,QLD,6
58,Dalenna,Pinnock,F,26,1967-07-04,53,50 to 60,Can't Loose Them,Office Assistant III,Financial Services,Affluent Customer,Yes,17.0,18 Elgar Park,2166,NSW,9
59,Niki,Heathcote,M,60,2000-02-08,20,20 to 30,Promising,Physical Therapy Assistant,Untitled,High Net Worth,No,3.0,413 Mayer Street,2046,NSW,9
60,Nadiya,Champerlen,F,18,1970-02-04,50,50 to 60,Require Activation,Untitled,Manufacturing,Mass Customer,No,10.0,39 3rd Drive,2026,NSW,10
61,Kacey,Rowbottom,F,47,1959-11-29,61,Above 60,Champions,Help Desk Operator,Property,High Net Worth,No,13.0,44516 Katie Parkway,2765,NSW,7
62,Sorcha,Roggers,F,38,1979-07-06,41,40 to 50,Can't Loose Them,Untitled,IT,Mass Customer,Yes,22.0,41 Schurz Center,2749,NSW,8
63,Ebony,Zini,F,58,1965-07-03,55,50 to 60,Promising,Senior Quality Engineer,Retail,Mass Customer,Yes,16.0,68150 Boyd Road,2745,NSW,9
64,Gerek,Yve,M,73,1978-03-25,42,40 to 50,Champions,Legal Assistant,IT,High Net Worth,No,4.0,11474 Westend Hill,3752,VIC,8
65,Yale,Tanser,M,21,1976-04-01,44,40 to 50,Potential,Information Systems Manager,Financial Services,Affluent Customer,Yes,15.0,308 Jana Crossing,2153,NSW,10
66,Anselm,Gawne,M,46,2002-03-11,18,Lessthan 20,Champions,Account Executive,Argiculture,High Net Worth,No,1.0,163 Straubel Trail,2217,NSW,10
67,Vernon,,M,67,1960-06-14,60,Above 60,Promising,Web Developer II,Retail,Mass Customer,No,18.0,68294 Clarendon Crossing,2230,NSW,10
68,Dahlia,Eddoes,F,37,1974-04-21,46,40 to 50,Promising,Information Systems Manager,Untitled,Affluent Customer,No,9.0,486 Mariners Cove Plaza,3046,VIC,7
69,Heidi,Milner,F,16,1969-06-22,51,50 to 60,Can't Loose Them,Web Developer II,Untitled,Mass Customer,No,6.0,0322 Dryden Court,3183,VIC,7
70,Foster,Vannoort,M,78,1993-02-27,27,20 to 30,Champions,Paralegal,Financial Services,Affluent Customer,No,8.0,9 Bonner Road,2070,NSW,12
71,Hoyt,Glavias,M,30,1985-01-27,35,30 to 40,Require Activation,Research Associate,Argiculture,Affluent Customer,Yes,12.0,07041 Briar Crest Lane,2213,NSW,10
72,Sammy,Cheese,M,93,1972-02-13,48,40 to 50,Potential,Administrative Officer,Manufacturing,Affluent Customer,Yes,16.0,29466 Hanson Pass,4208,QLD,6
73,Minette,Worters,F,16,1960-05-27,60,Above 60,Potential,Teacher,Untitled,Affluent Customer,Yes,5.0,0212 Forest Run Trail,2774,NSW,8
74,Pansy,Kiddie,F,94,1969-06-19,51,50 to 60,Promising,Untitled,Untitled,Mass Customer,Yes,6.0,33055 Menomonie Parkway,4133,QLD,8
75,Dollie,Sealy,F,28,1978-07-15,42,40 to 50,Can't Loose Them,VP Product Management,Property,Mass Customer,No,19.0,4763 Merchant Avenue,2756,NSW,8
76,Rea,Hasser,F,20,1978-01-23,42,40 to 50,Can't Loose Them,Statistician II,Retail,High Net Worth,Yes,18.0,439 Ridgeway Court,4213,QLD,9
77,Shermie,Andrin,M,79,1989-09-12,31,30 to 40,Require Activation,Automation Specialist IV,Financial Services,Mass Customer,No,7.0,2 Clyde Gallagher Lane,4170,QLD,5
78,Arch,Van der Kruis,M,37,1985-03-12,35,30 to 40,Require Activation,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8.0,97455 Loeprich Lane,2153,NSW,9
79,Tybi,Silliman,F,76,1968-10-02,52,50 to 60,Potential,Account Executive,Manufacturing,Mass Customer,No,18.0,9527 Ridgeway Street,2073,NSW,10
80,Pablo,Small,M,11,1978-04-24,42,40 to 50,Can't Loose Them,Data Coordiator,Entertainment,Mass Customer,No,13.0,7 Jackson Point,3561,VIC,1
81,Bee,Blazewicz,F,58,1986-09-04,34,30 to 40,Loyal,Untitled,Health,High Net Worth,No,13.0,74 Anniversary Junction,2330,NSW,6
82,Gleda,Cokely,F,93,1965-06-28,55,50 to 60,Potential,Software Test Engineer III,Property,High Net Worth,No,19.0,2083 Spaight Court,3977,VIC,8
83,Kerr,Simmell,M,97,1967-02-26,53,50 to 60,Loyal,Internal Auditor,IT,Mass Customer,Yes,18.0,2796 Caliangt Circle,2204,NSW,12
84,Rich,Mathiasen,M,78,1958-02-07,62,Above 60,Champions,Accountant III,Untitled,Mass Customer,Yes,14.0,96061 Ludington Place,2086,NSW,11
85,Kane,Tixall,M,1,1958-05-21,62,Above 60,Loyal,Analyst Programmer,Untitled,Mass Customer,No,8.0,5037 Merchant Crossing,2226,NSW,11
86,Job,Sleney,M,75,1989-03-04,31,30 to 40,Can't Loose Them,Occupational Therapist,Health,High Net Worth,Yes,7.0,289 Haas Street,2075,NSW,11
87,Fields,Langdon,M,78,1974-04-23,46,40 to 50,Can't Loose Them,Editor,Financial Services,Mass Customer,No,8.0,4423 Bartelt Parkway,2038,NSW,12
88,Malynda,Tumber,F,41,1966-02-03,54,50 to 60,Loyal,Help Desk Operator,Property,High Net Worth,Yes,7.0,5 Grim Center,2069,NSW,12
89,Benedicto,Hoxey,M,74,1967-01-22,53,50 to 60,Can't Loose Them,Speech Pathologist,Health,Mass Customer,Yes,14.0,73042 Roth Crossing,2100,NSW,11
90,Cary,Garron,M,76,1984-11-12,36,30 to 40,Can't Loose Them,Quality Control Specialist,Manufacturing,Mass Customer,No,11.0,171 Fordem Junction,2233,NSW,10
91,Dylan,Meaker,M,69,1955-02-24,65,Above 60,Can't Loose Them,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17.0,2640 Manley Point,2166,NSW,9
92,Jodee,Judkins,F,98,1980-09-11,40,40 to 50,Potential,Recruiting Manager,Health,Mass Customer,No,12.0,3 Hintze Pass,3133,VIC,10
93,Gordon,Gowar,M,63,1976-07-16,44,40 to 50,Promising,Project Manager,Retail,Mass Customer,Yes,10.0,2 Mcbride Road,3070,VIC,10
94,Wallache,Simchenko,M,33,1974-08-07,46,40 to 50,Can't Loose Them,Civil Engineer,Manufacturing,Mass Customer,No,21.0,67234 Transport Hill,2777,NSW,7
95,Nomi,Mallinder,F,67,1960-12-25,60,Above 60,Potential,Software Engineer III,Manufacturing,Affluent Customer,Yes,8.0,72 Dorton Crossing,3133,VIC,10
96,Heath,Olford,M,33,1968-08-31,52,50 to 60,Needs Attention,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15.0,6 Heffernan Center,2125,NSW,11
97,Arne,Corain,M,16,1979-07-27,41,40 to 50,Can't Loose Them,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10.0,6088 Roxbury Hill,2766,NSW,8
98,Allianora,Babalola,F,19,1956-03-17,64,Above 60,Needs Attention,Safety Technician IV,Health,Mass Customer,No,7.0,105 Shelley Alley,2209,NSW,10
99,Reggie,Mulliner,M,97,1998-06-13,22,20 to 30,Can't Loose Them,VP Accounting,Financial Services,Mass Customer,No,3.0,079 Merry Park,2160,NSW,9
100,Tripp,Steed,M,80,1968-05-11,52,50 to 60,Potential,General Manager,Financial Services,Mass Customer,Yes,4.0,8722 Summit Alley,2065,NSW,12
101,Goran,Kwietek,M,83,1975-12-29,45,40 to 50,Loyal,Nurse Practicioner,Manufacturing,High Net Worth,No,11.0,9554 Artisan Pass,2150,NSW,10
102,Langsdon,Tranfield,M,51,1956-11-27,64,Above 60,Can't Loose Them,Quality Control Specialist,Manufacturing,Affluent Customer,No,16.0,55850 Butterfield Road,2168,NSW,9
103,Ethyl,Runham,F,49,1997-04-21,23,20 to 30,Needs Attention,Product Engineer,Financial Services,Affluent Customer,Yes,4.0,68 Little Fleur Crossing,2046,NSW,12
104,Odille,Panketh,F,40,1978-06-06,42,40 to 50,Champions,Automation Specialist II,Health,Mass Customer,Yes,9.0,85688 New Castle Crossing,4171,QLD,10
105,Maribeth,Pristnor,F,25,2001-09-17,19,Lessthan 20,Promising,Recruiting Manager,Manufacturing,Mass Customer,No,1.0,8611 Loomis Lane,2155,NSW,10
106,Glyn,,M,54,1966-07-03,54,50 to 60,Potential,Software Test Engineer III,Health,High Net Worth,Yes,18.0,7909 Pierstorff Crossing,2517,NSW,9
107,Pris,Stallebrass,F,97,1990-07-01,30,30 to 40,Needs Attention,Nurse Practicioner,Financial Services,Mass Customer,Yes,9.0,01 Muir Parkway,2096,NSW,12
108,Kayle,Mingaud,F,4,1994-03-14,26,20 to 30,Potential,Untitled,Untitled,High Net Worth,No,3.0,0410 Division Junction,2750,NSW,8
109,Cody,Blabey,M,16,1978-12-11,42,40 to 50,Can't Loose Them,Marketing Assistant,Untitled,Affluent Customer,Yes,4.0,41 Service Lane,2217,NSW,11
110,Sascha,St. Quintin,M,23,2000-07-31,20,20 to 30,Can't Loose Them,Untitled,Financial Services,Affluent Customer,No,1.0,5 Moose Road,3977,VIC,8
111,Cele,Evason,F,65,1993-08-29,27,20 to 30,Needs Attention,Analyst Programmer,Untitled,Mass Customer,No,2.0,7342 Fieldstone Junction,2093,NSW,12
112,Shena,Parren,F,88,1975-08-12,45,40 to 50,Can't Loose Them,Marketing Manager,Retail,High Net Worth,No,12.0,0 David Terrace,3204,VIC,11
113,Gage,Nickless,M,67,1956-05-06,64,Above 60,Potential,Staff Scientist,Untitled,Mass Customer,No,20.0,15239 Northwestern Point,4300,QLD,4
114,Sunny,Swindells,F,10,1985-10-23,35,30 to 40,Needs Attention,Teacher,Entertainment,Affluent Customer,No,8.0,60 Oneill Street,2170,NSW,9
115,Alberik,Mereweather,M,77,1981-12-21,39,30 to 40,Can't Loose Them,Account Executive,Health,Mass Customer,No,18.0,8194 Sachtjen Drive,3844,VIC,1
116,Scottie,Swiffen,M,49,1999-02-05,21,20 to 30,Can't Loose Them,Assistant Professor,Manufacturing,Affluent Customer,Yes,2.0,0349 Farmco Terrace,2168,NSW,8
117,Nance,Suttling,F,75,1982-02-23,38,30 to 40,Can't Loose Them,Marketing Manager,Manufacturing,Mass Customer,No,15.0,185 Pennsylvania Way,4226,QLD,6
118,Prentice,Pearmain,M,43,1959-11-12,61,Above 60,Potential,Budget/Accounting Analyst IV,Untitled,High Net Worth,No,19.0,432 Longview Circle,3192,VIC,10
119,Willey,Chastanet,M,9,1981-12-04,39,30 to 40,Potential,Associate Professor,Untitled,High Net Worth,Yes,9.0,5814 Bunker Hill Street,3070,VIC,7
120,Sloan,Wagg,M,80,1978-09-02,42,40 to 50,Require Activation,Legal Assistant,Financial Services,High Net Worth,Yes,4.0,7 Carberry Crossing,2485,NSW,2
121,Myles,Pauncefort,M,82,1957-10-02,63,Above 60,Needs Attention,Graphic Designer,Manufacturing,Mass Customer,No,15.0,53 Talisman Trail,2097,NSW,9
122,Colver,Itter,M,87,1979-04-19,41,40 to 50,Can't Loose Them,Quality Control Specialist,Financial Services,Mass Customer,Yes,12.0,5 Prairie Rose Road,4817,QLD,2
123,Almeta,Kalinsky,F,85,1988-12-03,32,30 to 40,Needs Attention,Analyst Programmer,Financial Services,High Net Worth,No,15.0,84 Florence Parkway,2516,NSW,8
124,Kath,Cunney,F,27,1995-05-03,25,20 to 30,Can't Loose Them,Administrative Assistant II,Health,High Net Worth,Yes,5.0,739 Elmside Way,3074,VIC,8
125,Darrelle,Antoniewski,F,94,1960-03-17,60,Above 60,Can't Loose Them,Computer Systems Analyst II,Property,Mass Customer,No,16.0,684 Northport Circle,2213,NSW,10
126,Norman,Cliff,M,53,1992-10-15,28,20 to 30,Potential,Administrative Officer,Health,Mass Customer,Yes,3.0,8 Hagan Hill,4508,QLD,4
127,Merrili,Whitear,F,81,1974-12-03,46,40 to 50,Can't Loose Them,Compensation Analyst,Financial Services,Mass Customer,No,19.0,0 Pearson Crossing,4405,QLD,1
128,Isidro,Cypler,M,73,1977-07-17,43,40 to 50,Require Activation,Systems Administrator III,Property,Mass Customer,Yes,12.0,10918 Merry Way,2452,NSW,5
129,Weidar,Silkstone,M,64,1985-07-20,35,30 to 40,Needs Attention,Financial Advisor,Financial Services,High Net Worth,Yes,19.0,97 Coolidge Trail,2142,NSW,9
130,Raddy,Delete,M,32,1997-07-18,23,20 to 30,Needs Attention,Chemical Engineer,Manufacturing,Mass Customer,No,1.0,58 Helena Hill,2205,NSW,7
131,Jana,Renyard,F,57,1964-10-16,56,50 to 60,Champions,Administrative Officer,Retail,High Net Worth,No,8.0,352 Forster Place,4132,QLD,3
132,Celesta,Willavoys,F,5,1963-07-07,57,50 to 60,Can't Loose Them,Web Designer I,Manufacturing,Mass Customer,Yes,9.0,12306 Lawn Street,2145,NSW,8
133,Eldridge,Fiddeman,M,12,1977-06-13,43,40 to 50,Potential,VP Accounting,Financial Services,Mass Customer,Yes,16.0,19392 7th Trail,4744,QLD,1
134,Merna,McCulloch,F,34,1997-08-01,23,20 to 30,Can't Loose Them,Legal Assistant,Telecommunications,Affluent Customer,Yes,5.0,1605 Northfield Junction,2158,NSW,11
135,Rosalia,Sigart,F,18,1975-01-18,45,40 to 50,Loyal,Internal Auditor,IT,Mass Customer,No,3.0,9674 Graceland Junction,3201,VIC,6
136,Mel,Bennet,M,46,1973-05-26,47,40 to 50,Can't Loose Them,Senior Developer,Manufacturing,High Net Worth,Yes,7.0,638 Thackeray Junction,4178,QLD,3
137,Vaughn,Artin,M,27,1987-11-21,33,30 to 40,Potential,Office Assistant II,Property,High Net Worth,No,10.0,869 Forster Circle,2112,NSW,10
138,Onofredo,Franc,M,5,1985-04-28,35,30 to 40,Loyal,Recruiter,Financial Services,Affluent Customer,Yes,13.0,0 Golden Leaf Crossing,2033,NSW,9
139,Gar,,M,1,1964-07-28,56,50 to 60,Can't Loose Them,Operator,Telecommunications,Affluent Customer,No,4.0,215 Lindbergh Trail,4401,QLD,1
140,Morrie,Flaxon,M,9,1994-05-20,26,20 to 30,Can't Loose Them,Programmer Analyst III,Manufacturing,Mass Customer,No,2.0,829 Washington Crossing,3186,VIC,9
141,Townsend,Trobe,M,67,1954-06-25,66,Above 60,Needs Attention,Teacher,Financial Services,High Net Worth,Yes,10.0,585 Loomis Court,2097,NSW,11
142,Bentley,Fortesquieu,M,57,1967-08-07,53,50 to 60,Can't Loose Them,Quality Engineer,Health,Affluent Customer,No,17.0,68063 Blue Bill Park Center,3058,VIC,9
143,Kendall,Figg,M,19,1957-09-01,63,Above 60,Loyal,Operator,Argiculture,Mass Customer,Yes,11.0,15673 Farmco Point,4017,QLD,6
145,Filippo,Ferrara,M,33,1997-07-21,23,20 to 30,Can't Loose Them,Account Executive,Financial Services,Mass Customer,No,4.0,7245 Cottonwood Center,2285,NSW,5
146,Ricoriki,Matlock,M,34,1985-04-08,35,30 to 40,Require Activation,Quality Control Specialist,Manufacturing,Mass Customer,No,8.0,20382 Spohn Alley,2219,NSW,11
147,Rea,Pattrick,F,32,1973-12-06,47,40 to 50,Can't Loose Them,Analog Circuit Design manager,Health,Mass Customer,Yes,10.0,12375 Cambridge Pass,2065,NSW,11
148,Jaquith,Maffey,F,69,1981-05-08,39,30 to 40,Loyal,Programmer Analyst III,Untitled,Mass Customer,Yes,5.0,03 Granby Parkway,3216,VIC,8
149,Drucy,Kausche,F,41,1995-01-31,25,20 to 30,Loyal,Research Nurse,Health,Mass Customer,Yes,1.0,939 Coleman Pass,4509,QLD,7
150,Bradly,Crosse,M,6,1983-08-23,37,30 to 40,Needs Attention,Cost Accountant,Financial Services,Affluent Customer,No,17.0,69914 Bowman Place,2330,NSW,7
151,Donnie,Brimson,M,36,1965-01-31,55,50 to 60,Can't Loose Them,Marketing Manager,Manufacturing,Mass Customer,Yes,13.0,34457 Springview Street,2759,NSW,9
152,Stephana,Cardew,F,5,1981-03-03,39,30 to 40,Require Activation,Compensation Analyst,Financial Services,Mass Customer,No,16.0,992 Old Shore Trail,2069,NSW,12
153,Lorilyn,Walshe,F,73,1977-07-28,43,40 to 50,Champions,Assistant Media Planner,Entertainment,Mass Customer,Yes,12.0,453 Sheridan Street,2747,NSW,8
154,Faydra,Dulieu,F,90,1958-02-13,62,Above 60,Potential,Junior Executive,Untitled,Mass Customer,No,11.0,8 Mccormick Crossing,2227,NSW,8
155,Orran,Bogges,M,4,1985-12-28,35,30 to 40,Potential,Quality Engineer,Manufacturing,Mass Customer,No,10.0,63344 Holmberg Crossing,2025,NSW,10
156,Shayla,Rimmington,F,23,1979-09-09,41,40 to 50,Champions,Cost Accountant,Financial Services,Mass Customer,Yes,11.0,9 Huxley Circle,3191,VIC,11
157,Chad,Houtby,M,97,1974-11-23,46,40 to 50,Require Activation,Financial Advisor,Financial Services,Affluent Customer,No,16.0,0 Hazelcrest Road,3025,VIC,8
158,Hamlin,Odams,M,99,1984-09-03,36,30 to 40,Champions,Internal Auditor,Untitled,Affluent Customer,No,5.0,2 Continental Plaza,2263,NSW,6
159,Arin,Matskevich,M,90,1987-05-12,33,30 to 40,Champions,Research Nurse,Health,Affluent Customer,No,13.0,80 Duke Terrace,2233,NSW,10
160,Wake,Durning,M,5,1964-07-15,56,50 to 60,Require Activation,Registered Nurse,Health,Mass Customer,No,18.0,860 Hintze Lane,2154,NSW,11
161,Tadd,Bloss,M,49,1976-01-21,44,40 to 50,Require Activation,Untitled,Untitled,Mass Customer,No,16.0,3723 Bunker Hill Circle,2065,NSW,10
162,Port,Acuna,M,90,1979-08-12,41,40 to 50,Require Activation,Nurse Practicioner,IT,Mass Customer,No,15.0,5 Corry Court,2119,NSW,10
163,Kessia,Helder,F,58,1976-09-06,44,40 to 50,Require Activation,Librarian,Entertainment,High Net Worth,Yes,14.0,65105 Sommers Pass,3016,VIC,10
164,Aarika,Van Vuuren,F,55,1999-08-07,21,20 to 30,Require Activation,Senior Editor,Retail,Affluent Customer,Yes,1.0,2054 Sommers Pass,4113,QLD,4
165,Aldon,Roelofs,M,61,1984-03-25,36,30 to 40,Can't Loose Them,Administrative Officer,Argiculture,Mass Customer,Yes,12.0,22371 Miller Trail,2032,NSW,10
166,Elston,Oleszczak,M,54,1955-06-12,65,Above 60,Can't Loose Them,Structural Analysis Engineer,Manufacturing,Affluent Customer,No,6.0,35807 Oneill Way,4300,QLD,4
167,Nathalie,Tideswell,F,95,1969-10-27,51,50 to 60,Can't Loose Them,Untitled,Health,High Net Worth,Yes,17.0,75612 Clarendon Junction,4352,QLD,6
169,Alfy,Bruhnke,M,20,1957-10-19,63,Above 60,Needs Attention,Data Coordiator,Telecommunications,High Net Worth,Yes,5.0,93 Iowa Junction,2116,NSW,9
170,Jammal,Gever,M,80,1975-06-02,45,40 to 50,Require Activation,Pharmacist,Health,High Net Worth,No,21.0,48 Cascade Terrace,3057,VIC,8
